player,position,season,Team,TOI_all,TOI_EV,TOI_PP,TOI_SH,EV_GAR,PP_GAR,SH_GAR,Pens_GAR,GAR,WAR
RYAN.KESLER,1,20102011,VAN,1674,1135,296,205,9.9,5.7,0.0,2.4,18.0,3.4
TEDDY.PURCELL,1,20102011,T.B,1140,913,223,2,7.4,9.4,0.0,0.8,17.6,3.4
TYLER.JOHNSON,1,20142015,T.B,1327,990,169,132,10.4,3.3,0.0,3.8,17.5,3.4
TYLER.TOFFOLI,1,20152016,L.A,1411,1112,171,103,13.5,3.4,0.3,0.2,17.3,3.4
VIKTOR.KOZLOV,1,20072008,WSH,1417,1157,228,7,15.4,0.3,0.0,1.8,17.5,3.4
ANTON.STRALMAN,2,20142015,T.B,1800,1328,200,202,12.1,0.8,1.8,2.0,16.7,3.3
BOBBY.RYAN,1,20102011,ANA,1655,1334,190,92,14.0,0.0,0.0,3.2,17.2,3.3
CHRIS.KUNITZ,1,20132014,PIT,1493,1172,283,13,12.2,6.2,0.0,-1.4,17.0,3.3
DAN.BOYLE,2,20102011,S.J,1992,1462,323,168,7.8,7.4,1.6,0.2,17.0,3.3
DAN.BOYLE,2,20112012,S.J,2066,1589,315,119,8.0,5.4,1.5,1.8,16.7,3.3
DREW.DOUGHTY,2,20102011,L.A,1949,1448,314,154,14.1,1.8,0.0,1.3,17.1,3.3
DUSTIN.BROWN,1,20082009,L.A,1542,1101,285,128,4.2,1.8,0.1,11.8,17.9,3.3
ERIC.STAAL,1,20072008,CAR,1773,1242,375,105,6.2,4.8,0.0,5.9,17.0,3.3
EVANDER.KANE,1,20112012,WPG,1294,1107,158,4,10.8,4.3,0.0,1.8,16.8,3.3
EVGENY.DADONOV,1,20172018,FLA,1384,1097,245,0,16.5,0.2,0.0,1.7,18.4,3.3
HENRIK.ZETTERBERG,1,20162017,DET,1617,1326,238,2,15.5,0.3,0.0,1.3,17.0,3.3
JADEN.SCHWARTZ,1,20132014,STL,1402,1120,142,123,13.8,2.2,0.0,0.9,17.0,3.3
JAKUB.VORACEK,1,20132014,PHI,1415,1100,274,4,11.3,3.8,0.0,1.9,16.9,3.3
JOHN.TAVARES,1,20112012,NYI,1687,1382,260,8,6.8,3.1,0.0,6.8,16.7,3.3
JOHNNY.GAUDREAU,1,20142015,CGY,1417,1143,218,0,10.5,3.0,0.0,3.3,16.7,3.3
JONATHAN.TOEWS,1,20132014,CHI,1555,1165,240,117,11.5,3.0,0.0,2.1,16.6,3.3
JUSSI.JOKINEN,1,20152016,FLA,1479,1042,206,180,16.9,0.0,0.0,-0.2,16.7,3.3
LOUI.ERIKSSON,1,20082009,DAL,1623,1191,239,158,11.6,0.9,1.5,3.8,17.8,3.3
LOUI.ERIKSSON,1,20152016,BOS,1598,1165,235,147,10.6,3.9,1.4,0.9,16.8,3.3
MARK.GIORDANO,2,20162017,CGY,1910,1383,206,256,14.6,1.8,1.4,-0.6,17.1,3.3
MARK.SCHEIFELE,1,20142015,WPG,1523,1243,198,42,10.5,1.7,0.6,4.1,16.9,3.3
MARK.STONE,1,20152016,OTT,1509,1123,214,89,11.3,5.1,1.0,-0.5,16.9,3.3
MARTIN.ST. LOUIS,1,20092010,T.B,1783,1257,382,95,8.0,3.7,0.0,5.6,17.3,3.3
NICKLAS.LIDSTROM,2,20072008,DET,2029,1333,349,304,9.9,7.3,0.0,-0.1,17.1,3.3
NINO.NIEDERREITER,1,20162017,MIN,1234,1054,162,0,13.2,3.3,0.0,0.7,17.2,3.3
PATRICE.BERGERON,1,20112012,BOS,1505,1120,203,146,13.9,1.1,0.0,1.9,16.9,3.3
PATRICK.KANE,1,20152016,CHI,1673,1359,252,4,10.3,4.4,0.0,2.2,16.9,3.3
PAUL.STASTNY,1,20112012,COL,1488,1218,179,47,10.7,5.6,0.0,0.3,16.6,3.3
RAY.WHITNEY,1,20112012,ARI,1474,1140,294,1,14.7,0.7,0.0,1.5,16.9,3.3
T.J..OSHIE,1,20112012,STL,1544,1177,196,138,8.1,1.9,1.5,5.1,16.7,3.3
T.J..OSHIE,1,20162017,WSH,1214,921,196,67,10.5,5.3,0.0,1.3,17.2,3.3
TJ.BRODIE,2,20152016,CGY,1768,1392,158,177,11.9,1.0,0.0,3.8,16.7,3.3
WILLIAM.KARLSSON,1,20172018,VGK,1535,1174,195,135,15.1,1.4,0.0,2.2,18.7,3.3
ZDENO.CHARA,2,20082009,BOS,2060,1456,294,259,8.4,3.5,3.2,2.7,17.7,3.3
DANY.HEATLEY,1,20072008,OTT,1539,1168,307,33,13.9,3.0,0.1,-0.1,16.9,3.2
DION.PHANEUF,2,20072008,CGY,2133,1465,399,221,6.3,5.1,2.3,3.2,16.9,3.2
DUNCAN.KEITH,2,20092010,CHI,2178,1677,228,243,13.2,1.8,0.5,1.5,17.1,3.2
DUNCAN.KEITH,2,20132014,CHI,1947,1478,250,187,10.6,2.5,1.7,1.4,16.2,3.2
DUSTIN.BROWN,1,20172018,L.A,1607,1192,219,148,11.3,2.1,2.7,1.8,17.9,3.2
ERIK.COLE,1,20072008,CAR,1413,1012,299,66,7.8,2.7,1.3,5.0,16.7,3.2
ERIK.KARLSSON,2,20112012,OTT,2026,1641,310,44,9.7,4.1,0.0,2.3,16.1,3.2
JOSH.GORGES,2,20082009,MTL,1628,1270,94,232,12.6,1.0,2.9,1.1,17.5,3.2
LUBOMIR.VISNOVSKY,2,20072008,L.A,1883,1357,365,112,6.6,2.9,2.1,4.7,16.4,3.2
MARIAN.HOSSA,1,20082009,DET,1299,968,216,79,10.3,4.0,1.5,1.9,17.7,3.2
MARK.GIORDANO,2,20132014,CGY,1615,1190,213,169,11.6,2.9,1.8,0.3,16.6,3.2
MARTIN.ST. LOUIS,1,20112012,T.B,1740,1384,281,32,11.6,2.1,0.0,2.7,16.4,3.2
MIKE.RICHARDS,1,20072008,PHI,1569,929,331,231,8.9,3.4,0.0,4.5,16.9,3.2
PAUL.BYRON,1,20162017,MTL,1220,997,44,158,12.5,0.7,1.0,2.2,16.5,3.2
RAY.WHITNEY,1,20082009,CAR,1506,1122,313,11,11.6,4.5,0.0,1.3,17.5,3.2
REILLY.SMITH,1,20132014,BOS,1206,1058,133,1,12.6,3.5,0.0,0.1,16.3,3.2
RYAN.GETZLAF,1,20132014,ANA,1639,1143,280,159,13.5,0.7,0.0,2.3,16.5,3.2
SHEA.WEBER,2,20112012,NSH,2041,1545,272,173,9.4,7.0,0.0,-0.4,16.0,3.2
T.J..OSHIE,1,20142015,STL,1356,1071,169,93,12.0,2.9,0.0,1.1,16.1,3.2
THOMAS.VANEK,1,20102011,BUF,1388,1101,258,4,8.0,5.5,0.0,3.4,16.9,3.2
ALEX.WENNBERG,1,20172018,CBJ,1189,940,171,67,15.7,0.5,0.0,1.0,17.1,3.1
BRIAN.CAMPBELL,2,20092010,CHI,1576,1321,195,41,10.5,2.0,0.8,3.0,16.3,3.1
BRIAN.RAFALSKI,2,20102011,DET,1287,1033,222,15,12.3,3.5,0.0,0.6,16.4,3.1
DANIEL.CLEARY,1,20072008,DET,1094,761,162,149,11.6,3.2,0.5,0.9,16.2,3.1
DUSTIN.BROWN,1,20102011,L.A,1588,1207,239,111,10.1,0.9,0.4,4.5,16.0,3.1
FILIP.FORSBERG,1,20142015,NSH,1419,1148,229,2,11.1,1.7,0.0,3.0,15.7,3.1
JASON.ZUCKER,1,20172018,MIN,1391,1140,179,48,12.6,3.1,1.5,-0.1,17.1,3.1
JEFF.SKINNER,1,20162017,CAR,1398,1177,177,1,10.7,0.6,0.0,4.7,16.0,3.1
JOE.PAVELSKI,1,20132014,S.J,1628,1169,288,129,7.9,4.6,1.2,2.2,15.8,3.1
JOE.THORNTON,1,20092010,S.J,1548,1175,272,76,8.8,4.7,1.8,1.0,16.3,3.1
JOHNNY.BOYCHUK,2,20132014,BOS,1590,1327,24,218,15.9,0.2,0.1,-0.1,16.1,3.1
JUSTIN.ABDELKADER,1,20142015,DET,1271,976,197,66,10.6,3.9,0.9,0.5,15.8,3.1
JUSTIN.SCHULTZ,2,20162017,PIT,1595,1355,216,5,12.1,4.3,0.0,-0.3,16.1,3.1
KYLE.PALMIERI,1,20152016,N.J,1460,1141,211,50,6.7,4.3,0.0,5.0,16.0,3.1
LOUI.ERIKSSON,1,20102011,DAL,1625,1225,266,105,6.4,4.3,1.0,4.5,16.2,3.1
MARK.STREIT,2,20082009,NYI,1862,1253,372,181,15.1,0.9,0.0,0.8,16.9,3.1
MARTIN.HAVLAT,1,20082009,CHI,1410,1118,246,5,14.1,1.4,0.0,1.6,17.1,3.1
MARTIN.ST. LOUIS,1,20082009,T.B,1741,1180,375,138,10.0,0.7,0.8,5.1,16.7,3.1
MILAN.LUCIC,1,20152016,L.A,1396,1188,171,3,13.4,3.4,0.0,-1.0,15.8,3.1
ONDREJ.PALAT,1,20142015,T.B,1307,964,172,129,11.9,2.1,1.0,0.9,15.9,3.1
PAVEL.DATSYUK,1,20122013,DET,949,699,166,65,10.8,3.3,0.6,0.8,15.5,3.1
PAVEL.DATSYUK,1,20142015,DET,1198,978,180,6,7.2,5.6,0.0,3.0,15.8,3.1
RYAN.MALONE,1,20072008,PIT,1468,990,228,200,8.8,4.2,0.0,3.3,16.3,3.1
RYAN.O'REILLY,1,20142015,COL,1614,1195,205,143,9.7,4.0,0.0,2.1,15.7,3.1
STEVEN.STAMKOS,1,20172018,T.B,1465,1127,264,32,13.3,4.8,0.9,-1.6,17.4,3.1
YANNI.GOURDE,1,20172018,T.B,1325,1066,150,87,13.0,1.8,1.6,1.1,17.5,3.1
ZDENO.CHARA,2,20162017,BOS,1750,1389,31,277,12.1,1.2,1.9,0.8,16.0,3.1
